Sample Rate,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,813.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Markers,84.7,159.948,232.269,303.252,372.743,442.36,511.191,581.397,649.906,734.443,813.994,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment Times,01:24.7,01:15.2,01:12.3,01:11.0,01:09.5,01:09.6,01:08.8,01:10.2,01:08.5,01:24.5,01:19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,LoggerTemp,Battery,Predictive Time,#NAME?,Engine RPM,Speed,Gear,Water Temp,Head Temp,Exhaust Temp,Oil Temp,Oil Press,Brake Press,Throttle Pos,Brake Pos,Clutch Pos,Steering Pos,Lambda,Lateral Acc,Inline Acc,Fuel Level,Battery Voltage,Vertical Acc,Distance on GPS Speed,Distance on Vehicle Speed
s,km/h, ,g,g,deg,deg,deg/s,m,mm,km/h,m,deg,deg,°C,V, , ,rpm,km/h,gear,°C,°C,°C,°C,bar,bar,%,%,%,deg,lambda,g,g,%,V,g,m,m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,15.6738,15.6667
1.25,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,16.3269,16.3194
1.3,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,16.98,16.9722
1.35,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,17.6331,17.625
1.4,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,18.2861,18.2778
1.45,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,18.9392,18.9306
1.5,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,19.5923,19.5833
1.55,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,20.2454,20.2361
1.6,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,20.8984,20.8889
1.65,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,21.5515,21.5417
1.7,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,22.2046,22.1944
1.75,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,22.8577,22.8472
1.8,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,23.5107,23.5
1.85,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,24.1638,24.1528
1.9,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,24.8169,24.8056
1.95,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,25.47,25.4583
2,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,26.123,26.1111
2.05,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,26.7761,26.7639
2.1,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,27.4292,27.4167
2.15,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,28.0823,28.0694
2.2,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,28.7353,28.7222
2.25,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,29.3884,29.375
2.3,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,30.0415,30.0278
2.35,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,30.6946,30.6806
2.4,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,31.3476,31.3333
2.45,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,32.0007,31.9861
2.5,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,32.6538,32.6389
2.55,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,33.3069,33.2917
2.6,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,33.9599,33.9444
2.65,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,34.613,34.5972
2.7,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,35.2661,35.25
2.75,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,35.9192,35.9028
2.8,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,36.5723,36.5556
2.85,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,37.2253,37.2083
2.9,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,37.8784,37.8611
2.95,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,38.5315,38.5139
3,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,39.1846,39.1667
3.05,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,39.8376,39.8194
3.1,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,40.4907,40.4722
3.15,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,41.1438,41.125
3.2,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,41.7969,41.7778
3.25,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,42.4499,42.4306
3.3,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,43.103,43.0833
3.35,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,43.7561,43.7361
3.4,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,44.4092,44.3889
3.45,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,45.0622,45.0417
3.5,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,45.7153,45.6944
3.55,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,46.3684,46.3472
3.6,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,47.0215,47
3.65,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,47.6745,47.6528
3.7,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,48.3276,48.3056
3.75,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,48.9807,48.9583
3.8,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,49.6338,49.6111
3.85,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,50.2868,50.2639
3.9,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,50.9399,50.9167
3.95,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,51.593,51.5694
4,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,52.2461,52.2222
4.05,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,52.8992,52.875
4.1,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,53.5522,53.5278
4.15,47.0215,9,0,0,0.5793,-100.3536,0,326.4648,5,0.13,10000,10.90056379,77.04959373,37.0857,3.8181,72321,0,3374,47,1,65.8,39.9,39.9,59,4.66,-0.28,98,-1,0,-3,0,-0.31,-0.47,0,12.3,0,54.2053,54.1806
